sample_group	score_threshold_pa	fraction_at_or_above	n_callable
MHV-wt	9.55	0.005373258907611247	19169
MHV-wt	9.575000000000001	0.005216756220981793	19169
MHV-wt	9.600000000000001	0.005164588658771976	19169
MHV-wt	9.625	0.005112421096562157	19169
MHV-wt	9.65	0.00506025353435234	19169
MHV-wt	9.675	0.004955918409932704	19169
MHV-wt	9.700000000000001	0.004955918409932704	19169
MHV-wt	9.725000000000001	0.004851583285513068	19169
MHV-wt	9.75	0.0046950805988836145	19169
MHV-wt	9.775	0.004642913036673796	19169
MHV-wt	9.8	0.0045385779122541605	19169
MHV-wt	9.825000000000001	0.004486410350044342	19169
MHV-wt	9.850000000000001	0.004434242787834525	19169
MHV-wt	9.875	0.0043820752256247065	19169
MHV-wt	9.9	0.004329907663414889	19169
MHV-wt	9.925	0.004329907663414889	19169
MHV-wt	9.950000000000001	0.004329907663414889	19169
MHV-wt	9.975000000000001	0.004277740101205071	19169
MHV-wt	10.0	0.004225572538995252	19169
MHV-wt	10.025	0.004121237414575617	19169
MHV-wt	10.05	0.004016902290155981	19169
MHV-wt	10.075000000000001	0.003964734727946163	19169
MHV-wt	10.100000000000001	0.003912567165736345	19169
MHV-wt	10.125	0.003912567165736345	19169
MHV-wt	10.15	0.003912567165736345	19169
MHV-wt	10.175	0.003808232041316709	19169
MHV-wt	10.200000000000001	0.0037560644791068912	19169
MHV-wt	10.225000000000001	0.0037560644791068912	19169
MHV-wt	10.25	0.0037038969168970734	19169
MHV-wt	10.275	0.0036517293546872555	19169
MHV-wt	10.3	0.0035995617924774377	19169
MHV-wt	10.325000000000001	0.00354739423026762	19169
MHV-wt	10.350000000000001	0.00354739423026762	19169
MHV-wt	10.375	0.0034952266680578015	19169
MHV-wt	10.4	0.0034430591058479836	19169
MHV-wt	10.425	0.0033908915436381658	19169
MHV-wt	10.450000000000001	0.0033908915436381658	19169
MHV-wt	10.475000000000001	0.003338723981428348	19169
MHV-wt	10.5	0.00328655641921853	19169
MHV-wt	10.525	0.003234388857008712	19169
MHV-wt	10.55	0.003182221294798894	19169
MHV-wt	10.575000000000001	0.003130053732589076	19169
MHV-wt	10.600000000000001	0.0030257186081694403	19169
MHV-wt	10.625	0.0030257186081694403	19169
MHV-wt	10.65	0.0030257186081694403	19169
MHV-wt	10.675	0.0030257186081694403	19169
MHV-wt	10.700000000000001	0.0030257186081694403	19169
MHV-wt	10.725000000000001	0.0030257186081694403	19169
MHV-wt	10.75	0.0030257186081694403	19169
MHV-wt	10.775	0.002921383483749804	19169
MHV-wt	10.8	0.002921383483749804	19169
MHV-wt	10.825000000000001	0.0028692159215399863	19169
MHV-wt	10.850000000000001	0.0027648807971203506	19169
MHV-wt	10.875	0.0027127132349105327	19169
MHV-wt	10.9	0.0027127132349105327	19169
MHV-wt	10.925	0.0027127132349105327	19169
